,MUNICIPIO_NACIMIENTO,MUNICIPIO_RESIDENCIA
324,PUEBLO BELLO,LA PAZ
325,"BOGOTÁ, D.C.",
326,MANAURE BALCÓN DEL CESAR,
327,VALLEDUPAR,
328,CIUDAD EXTRANJERO,VALLEDUPAR
329,CIUDAD EXTRANJERO,VALLEDUPAR
330,VALLEDUPAR,VALLEDUPAR
331,VALLEDUPAR,VALLEDUPAR
332,VALLEDUPAR,VALLEDUPAR
333,VALLEDUPAR,
334,CARTAGENA DE INDIAS,VALLEDUPAR
335,VALLEDUPAR,VALLEDUPAR
336,VALLEDUPAR,VALLEDUPAR
337,VALLEDUPAR,
338,VALLEDUPAR,
339,VALLEDUPAR,
340,URUMITA,URUMITA
341,LA PAZ,LA PAZ
342,VALLEDUPAR,VALLEDUPAR
343,VALLEDUPAR,
344,VALLEDUPAR,
345,VALLEDUPAR,
346,VALLEDUPAR,
347,VALLEDUPAR,VALLEDUPAR
348,,
349,VALLEDUPAR,
350,VALLEDUPAR,
351,LA PAZ,
352,CHIMICHAGUA,VALLEDUPAR
353,EL COPEY,VALLEDUPAR
354,,
355,,VALLEDUPAR
356,VALLEDUPAR,VALLEDUPAR
357,VALLEDUPAR,
358,LA PAZ,
359,VALLEDUPAR,
360,VALLEDUPAR,VALLEDUPAR
361,LA PAZ,
362,LA PAZ,
363,LA PAZ,
364,VALLEDUPAR,VALLEDUPAR
365,MANAURE BALCÓN DEL CESAR,MANAURE BALCÓN DEL CESAR
366,VALLEDUPAR,VALLEDUPAR
367,VALLEDUPAR,
368,VALLEDUPAR,MANAURE BALCÓN DEL CESAR
369,VALLEDUPAR,VALLEDUPAR
370,VALLEDUPAR,
371,VALLEDUPAR,VALLEDUPAR
372,VALLEDUPAR,
373,VALLEDUPAR,
374,"BOGOTÁ, D.C.",
375,CARTAGENA DE INDIAS,VALLEDUPAR
376,CICUCO,
377,PINILLOS,VALLEDUPAR
378,VALLEDUPAR,
379,VALLEDUPAR,PUEBLO BELLO
380,VALLEDUPAR,
381,VALLEDUPAR,LA PAZ
382,VALLEDUPAR,VALLEDUPAR
383,LA PAZ,SAN DIEGO
384,VALLEDUPAR,
385,VALLEDUPAR,
386,VALLEDUPAR,
387,VALLEDUPAR,
388,LA PAZ,LA PAZ
389,VILLANUEVA,
390,"BOGOTÁ, D.C.",VALLEDUPAR
391,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
392,"BOGOTÁ, D.C.",
393,VALLEDUPAR,
394,VALLEDUPAR,
395,CURUMANÍ,CURUMANÍ
396,VALLEDUPAR,
397,VALLEDUPAR,
398,MANAURE BALCÓN DEL CESAR,MANAURE BALCÓN DEL CESAR
399,ASTREA,
400,ASTREA,
401,VALLEDUPAR,
402,VALLEDUPAR,
403,VALLEDUPAR,
404,VALLEDUPAR,VALLEDUPAR
405,FONSECA,
406,BELLO,
407,SAN PABLO,AGUSTÍN CODAZZI
408,ASTREA,EL PASO
409,SAN DIEGO,SAN DIEGO
410,CHIMICHAGUA,
411,BOSCONIA,VALLEDUPAR
412,VALLEDUPAR,
413,VALLEDUPAR,
414,VALLEDUPAR,
415,SAN DIEGO,
416,VALLEDUPAR,
417,VALLEDUPAR,VALLEDUPAR
418,VALLEDUPAR,VALLEDUPAR
419,SAN MARTÍN,
420,VALLEDUPAR,
421,VALLEDUPAR,
422,VALLEDUPAR,
423,"BOGOTÁ, D.C.",VALLEDUPAR
424,SAN MARTÍN,SAN MARTÍN
425,LA PAZ,
426,CIUDAD EXTRANJERO,
427,VALLEDUPAR,
428,LA PAZ,
429,MANAURE BALCÓN DEL CESAR,
430,VALLEDUPAR,
431,VALLEDUPAR,
432,AGUSTÍN CODAZZI,
433,SAN DIEGO,VALLEDUPAR
434,VALLEDUPAR,VALLEDUPAR
435,LA PAZ,
436,LA PAZ,
437,VALLEDUPAR,
438,BUCARAMANGA,
439,RIOHACHA,
440,VALLEDUPAR,VALLEDUPAR
441,SAN DIEGO,SAN DIEGO
442,LA PAZ,
443,SAHAGÚN,
444,"BOGOTÁ, D.C.",VALLEDUPAR
445,VALLEDUPAR,VALLEDUPAR
446,LA PAZ,
447,VALLEDUPAR,
448,VALLEDUPAR,VALLEDUPAR
449,LA PAZ,
450,VALLEDUPAR,
451,LA PAZ,
452,VALLEDUPAR,VALLEDUPAR
453,VALLEDUPAR,VALLEDUPAR
454,ÁBREGO,
455,VALLEDUPAR,
456,VALLEDUPAR,
457,LA PAZ,
458,VALLEDUPAR,
459,AGUSTÍN CODAZZI,
460,VALLEDUPAR,
461,PLATO,
462,"BOGOTÁ, D.C.",
463,SOGAMOSO,
464,SINCELEJO,
465,VALLEDUPAR,VALLEDUPAR
466,SAN DIEGO,
467,MANAURE BALCÓN DEL CESAR,
468,VALLEDUPAR,
469,PUEBLO BELLO,
470,CHIMICHAGUA,
471,VALLEDUPAR,VALLEDUPAR
472,EL BANCO,
473,VALLEDUPAR,
474,LA JAGUA DE IBIRICO,
475,VALLEDUPAR,
476,VALLEDUPAR,
477,VALLEDUPAR,
478,VALLEDUPAR,
479,VALLEDUPAR,VALLEDUPAR
480,VALLEDUPAR,LA PAZ
481,VALLEDUPAR,
482,AGUACHICA,
483,VALLEDUPAR,
484,"BOGOTÁ, D.C.",LA JAGUA DE IBIRICO
485,BOSCONIA,LA PAZ
486,LA DORADA,LA PAZ
487,BOSCONIA,
488,VALLEDUPAR,VALLEDUPAR
489,VALLEDUPAR,AGUSTÍN CODAZZI
490,LA PAZ,
491,PUEBLO BELLO,
492,VALLEDUPAR,VALLEDUPAR
493,SAN DIEGO,
494,SAN DIEGO,
495,BOSCONIA,
496,CHIMICHAGUA,CHIMICHAGUA
497,VALLEDUPAR,
498,VALLEDUPAR,VALLEDUPAR
499,SAN DIEGO,SAN DIEGO
500,EL BANCO,
501,SAN DIEGO,
502,PUEBLO BELLO,
503,VALLEDUPAR,
504,VALLEDUPAR,VALLEDUPAR
505,LA PAZ,
506,CIÉNAGA,VALLEDUPAR
507,VALLEDUPAR,VALLEDUPAR
508,VALLEDUPAR,
509,PLATO,
510,VALLEDUPAR,
511,VALLEDUPAR,
512,LA PAZ,
513,VALLEDUPAR,VALLEDUPAR
514,"BOGOTÁ, D.C.",VALLEDUPAR
515,LA PAZ,LA PAZ
516,ASTREA,LA PAZ
517,MAICAO,
518,VALLEDUPAR,LA PAZ
519,VALLEDUPAR,
520,VALLEDUPAR,
521,VALLEDUPAR,
522,VALLEDUPAR,
523,AGUSTÍN CODAZZI,
524,LA PAZ,
525,VALLEDUPAR,
526,VALLEDUPAR,
527,VALLEDUPAR,VALLEDUPAR
528,VALLEDUPAR,VALLEDUPAR
529,SAN DIEGO,SAN DIEGO
